date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
2019-09-05,2019,0,0,CHI,GB,1588.89793144843,1455.13136993533,0.7584485193045968,,,
2019-09-08,2019,0,0,PHI,WSH,1581.51355925233,1441.02179176339,0.7654698543324963,,,
2019-09-08,2019,0,0,JAX,KC,1455.24907275187,1602.07742712331,0.38436967604805045,,,
2019-09-08,2019,0,0,CAR,LAR,1519.37877240763,1598.01566621671,0.4803850039945628,,,
2019-09-08,2019,0,0,MIA,BAL,1415.17876187059,1570.53924891259,0.37281557491111966,,,
2019-09-08,2019,0,0,MIN,ATL,1538.42395425995,1520.31582461035,0.6173720777976055,,,
2019-09-08,2019,0,0,CLE,TEN,1455.88640137805,1518.90720352913,0.5028482638546541,,,
2019-09-08,2019,0,0,NYJ,BUF,1384.96644235941,1448.42368150679,0.5022201967461954,,,
2019-09-08,2019,0,0,SEA,CIN,1565.41164859357,1428.5335151433,0.7617148036094071,,,
2019-09-08,2019,0,0,LAC,IND,1585.75191800581,1561.07456529967,0.6262644674526644,,,
2019-09-08,2019,0,0,ARI,DET,1383.74042223536,1490.51940926969,0.44016333887878134,,,
2019-09-08,2019,0,0,DAL,NYG,1546.63760540507,1442.7255357616,0.7255848739644275,,,
2019-09-08,2019,0,0,TB,SF,1444.77266859125,1422.63182461207,0.622840671248458,,,
2019-09-08,2019,0,0,NE,PIT,1640.85648810958,1572.19321967273,0.6833970641922035,,,
2019-09-09,2019,0,0,NO,HOU,1610.93660317005,1515.38853097227,0.7158948727512396,,,
2019-09-09,2019,0,0,OAK,DEN,1405.44061778861,1449.16419458668,0.5305810160650128,,,
2019-09-12,2019,0,0,CAR,TB,1519.37877240763,1444.77266859125,0.6907520039808498,,,
2019-09-15,2019,0,0,WSH,DAL,1441.02179176339,1546.63760540507,0.4418139614203211,,,
2019-09-15,2019,0,0,BAL,ARI,1570.53924891259,1383.74042223536,0.8099169395661353,,,
2019-09-15,2019,0,0,HOU,JAX,1515.38853097227,1455.24907275187,0.6726864247821814,,,
2019-09-15,2019,0,0,DET,LAC,1490.51940926969,1585.75191800581,0.45660140261437654,,,
2019-09-15,2019,0,0,GB,MIN,1455.13136993533,1538.42395425995,0.47369915297123083,,,
2019-09-15,2019,0,0,MIA,NE,1415.17876187059,1640.85648810958,0.28395335230340546,,,
2019-09-15,2019,0,0,NYG,BUF,1442.7255357616,1448.42368150679,0.5845230101379768,,,
2019-09-15,2019,0,0,PIT,SEA,1572.19321967273,1565.41164859357,0.6018568323746746,,,
2019-09-15,2019,0,0,CIN,SF,1428.5335151433,1422.63182461207,0.6006425070287427,,,
2019-09-15,2019,0,0,TEN,IND,1518.90720352913,1561.07456529967,0.5328115857441337,,,
2019-09-15,2019,0,0,OAK,KC,1405.44061778861,1602.07742712331,0.3191322731956791,,,
2019-09-15,2019,0,0,DEN,CHI,1449.16419458668,1588.89793144843,0.39407810376497454,,,
2019-09-15,2019,0,0,LAR,NO,1598.01566621671,1610.93660317005,0.5743914695955236,,,
2019-09-15,2019,0,0,ATL,PHI,1520.31582461035,1581.51355925233,0.50547168126804,,,
2019-09-16,2019,0,0,NYJ,CLE,1384.96644235941,1455.88640137805,0.4914813185205778,,,
2019-09-19,2019,0,0,JAX,TEN,1455.24907275187,1518.90720352913,0.5019310954413169,,,
2019-09-22,2019,0,0,MIN,OAK,1538.42395425995,1405.44061778861,0.7576215608518799,,,
2019-09-22,2019,0,0,PHI,DET,1581.51355925233,1490.51940926969,0.7105330862020249,,,
2019-09-22,2019,0,0,BUF,CIN,1448.42368150679,1428.5335151433,0.6197923799936143,,,
2019-09-22,2019,0,0,IND,ATL,1561.07456529967,1520.31582461035,0.6476661614221739,,,
2019-09-22,2019,0,0,GB,DEN,1455.13136993533,1449.16419458668,0.6007329256203681,,,
2019-09-22,2019,0,0,KC,BAL,1602.07742712331,1570.53924891259,0.6354612888670361,,,
2019-09-22,2019,0,0,DAL,MIA,1546.63760540507,1415.17876187059,0.756006430429045,,,
2019-09-22,2019,0,0,NE,NYJ,1640.85648810958,1384.96644235941,0.8637970261182663,,,
2019-09-22,2019,0,0,TB,NYG,1444.77266859125,1442.7255357616,0.5953084063631613,,,
2019-09-22,2019,0,0,ARI,CAR,1383.74042223536,1519.37877240763,0.3997211711148573,,,
2019-09-22,2019,0,0,SF,PIT,1422.63182461207,1572.19321967273,0.38065370230648027,,,
2019-09-22,2019,0,0,LAC,HOU,1585.75191800581,1515.38853097227,0.6855107513483617,,,
2019-09-22,2019,0,0,SEA,NO,1565.41164859357,1610.93660317005,0.5279975265487656,,,
2019-09-22,2019,0,0,CLE,LAR,1455.88640137805,1598.01566621671,0.390790229960646,,,
2019-09-23,2019,0,0,WSH,CHI,1441.02179176339,1588.89793144843,0.38294343468980474,,,
2019-09-26,2019,0,0,GB,PHI,1455.13136993533,1581.51355925233,0.4125716762306024,,,
2019-09-29,2019,0,0,BAL,CLE,1570.53924891259,1455.88640137805,0.7377225556357043,,,
2019-09-29,2019,0,0,DET,KC,1490.51940926969,1602.07742712331,0.43339582629853596,,,
